[2026-09-26T12:09:17.627Z] syncing 1501 Better Bathrooms products to Shopify as DRAFT
[2026-09-26T12:09:30.561Z] ✓ 600mm Black Wall Hung Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:34:30.137Z] ✓ 3 Outlet Push Button Thermostatic Mixer Shower Set with Hand Shower & Bath Filler Spout - Mika — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:34:34.867Z] ✓ Aqualisa eMOTION 10.5kW Grey Electric Shower — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:34:35.978Z] ✓ 800x800mm In - Fold Sliding Shower Enclosure 6mm Glass with Shower Tray - Apollo — 3/3 variants, 12 images, 3 variant images
[2026-09-26T12:34:42.083Z] ✓ 3 Outlet Wall Mounted Thermostatic Mixer Shower Set with Waterfall Bath Filler Spout and Hand Shower - Arissa — 2/2 variants, 14 images, 2 variant images
[2026-09-26T12:34:43.330Z] ✓ 800x800mm Brushed Brass Square Sliding In-Fold Shower Enclosure 6mm Glass - Apollo — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:34:51.309Z] ✓ Slate Effect Rectangular Anti-Slip Slimline Shower Tray - Sileti — 4/4 variants, 9 images, 4 variant images
[2026-09-26T12:34:51.793Z] ✓ Chrome 1 Outlet Thermostatic Mixer Shower Set - Cube — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:34:57.552Z] ✓ 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Zana — 2/2 variants, 10 images, 2 variant images
[2026-09-26T12:35:00.341Z] ✓ Chrome 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Integrated Hand Shower - Cube — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:35:00.745Z] ✓ 900mm Chrome Bi-Fold Door Shower Enclosure 4mm Glass - Lyra — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:35:00.746Z] progress 375/1501 (ok 373, warnings 0, failed 2)
[2026-09-26T12:35:03.759Z] ✓ 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Arissa — 2/2 variants, 10 images, 2 variant images
[2026-09-26T12:35:06.350Z] ✓ 1500x800mm Rectangular 25mm Slimline White Stone Resin Shower Tray – Harmony — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:35:09.317Z] ✓ 1700x800mm Rectangular Anti-Slip 45mm White Stone Resin Shower Tray – Pearl — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:35:12.330Z] ✓ 1400x800mm Rectangular Anti-Slip 25mm Slimline White Stone Resin Shower Tray – Harmony — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:35:13.940Z] ✓ Chrome 2 Outlet Wall Mounted Shower Head Thermostatic Mixer Shower Set with Hand Shower - Slide Rail Kit & Diverter Control- Flow — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:35:21.078Z] ✓ 1200x800mm Chrome 8mm Glass Frameless Rectangular Sliding Shower Enclosure - Denver — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:35:29.584Z] ✓ In-Fold Sliding Shower Enclosure Glass - Apollo — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:35:30.836Z] ✓ 2 Outlet Push Button Thermostatic Mixer Shower Set With Hand Shower & Wall Bracket - Priya — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:35:33.957Z] ✓ 2 Outlet Thermostatic Bar Mixer Shower Set with Hand Shower & Fluted Handles - Arissa — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:35:43.486Z] ✓ 2 Outlet Wall Mounted Thermostatic Push Button Bath Mixer Shower Set With Hand Shower & Bath Filler Spout - Priya — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:35:51.618Z] ✓ 1000 x 800mm Wet Room Shower Tray Formers (Tile-Ready Boards) with Square Waste — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:35:52.344Z] ✓ 3 Outlet Thermostatic Push Button Mixer Shower Set With Bath Filler Spout & Hand Shower - Priya — 2/2 variants, 13 images, 2 variant images
[2026-09-26T12:35:52.766Z] ✓ Rectangular Anti-Slip Slimline Stone Resin Shower Tray - Coast — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:35:53.227Z] ✓ 3 Outlet Thermostatic Push Button Mixer Shower Set With Bath Filler Spout & Hand Shower with Slide Rail Kit - Priya — 2/2 variants, 13 images, 2 variant images
[2026-09-26T12:36:01.033Z] ✓ 800mm Black Grid Frame Shower Screen for Wet Room & Walk In Shower - Nova — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:36:02.255Z] ✓ 1400x800mm Black Smoked/Frosted Glass Shower Enclosure for Wet Room & Walk In Shower - Atlas — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:36:02.704Z] ✓ Brushed Brass Outdoor Shower with Pencil Hand Shower 2 Outlets - Fiji — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:36:07.246Z] ✓ Brushed Brass 3 Outlet Thermostatic Mixer Shower Set With Waterfall Bath Filler Spout & Hand Shower with Wall Bracket -Zanda — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:36:11.117Z] ✓ 1300x900mm Rectangular Anti-Slip 40mm White Stone Resin Shower Tray – Purity — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:36:12.248Z] ✓ 1200x800mm Brushed Brass 8mm Glass Rectangular Frameless Sliding Shower Enclosure - Denver — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:36:12.726Z] ✓ 900mm Black Smoked Frosted Glass Shower Screen for Wet Room & Walk In Shower - Atlas — 1/1 variants, 2 images, 1 variant images
[2026-09-26T12:36:29.437Z] ✓ Grid Shower Screen for Wet Room & Walk In Shower - Nova — 4/4 variants, 8 images, 4 variant images
[2026-09-26T12:36:32.669Z] ✓ 700mm Shower Screen for Wet Room & Walk In Shower with 300mm Hinged Flipper Panel - Corvus — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:36:33.877Z] ✓ 1400x900mm Walk-In Shower Screen Enclosure with 300mm Hinged Flipper Return Panel and Shower Tray - Corvus — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:36:34.292Z] ✓ Grid Shower Screen for Wet Room & Walk In Shower with Hinged Panel - Nova — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:36:34.292Z] progress 400/1501 (ok 398, warnings 0, failed 2)
[2026-09-26T12:36:38.291Z] ✓ 1400x800mm Brushed Brass Ribbed / Fluted Glass Double Shower Screen for Wet Room & Walk In Shower - Matira — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:36:43.700Z] ✓ 800mm Black Grid Shower Screen for Wet Room & Walk In Shower with 300mm Hinged Fixed Panel- Nova — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:36:47.141Z] ✓ 1600x800mm Brushed Nickel Walk-In Shower Enclosure with Hinged Flipper Return Panel – Corvus — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:36:52.206Z] ✓ 1400x900mm Bronze Walk-In Rectangular Shower Enclosure with Hinged Flipper Return Panel - Corvus — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:36:53.557Z] ✓ Gunmetal Grey Shower Screen for Wet Room & Walk In Shower with Fixed Return Panel - Corvus — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:36:54.811Z] ✓ 2300mm Double Shower Screen for Wet Room & Walk In Shower - Corvus — 3/3 variants, 5 images, 3 variant images
[2026-09-26T12:37:01.489Z] ✓ 1600x800mm Gunmetal Grey Grey Walk-In Shower Screen Enclosure with Fixed Return Panel – Corvus — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:37:02.810Z] ✓ 1200mm Chrome Frameless Sliding Door Shower Enclosure 8mm Glass + Wall Support Bar - Denver — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:37:09.639Z] ✓ 1200mm Chrome Sliding Door Shower Enclosure 8mm Glass with Traditional Handle - Pavo — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:37:10.858Z] ✓ 1200x800mm Rectangular Anti-Slip 30mm Slimline White Stone Resin with Gel Coat Mix Shower Tray – Hendra — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:37:12.602Z] ✓ 800mm Ribbed / Fluted Glass Hinged Door Shower Enclosure 8mm Glass - Matira — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:37:17.610Z] ✓ 1200mm Sliding Door Shower Enclosure + Wall Support Bar 8mm Glass - Denver — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:37:21.983Z] ✓ 800x800mm Square 25mm Slimline White Stone Resin Shower Tray – Harmony — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:37:27.151Z] ✓ 900x900mm Square 25mm Slimline White Stone Resin Shower Tray – Cascade — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:37:30.215Z] ✓ 800x800mm Square Anti-Slip 45mm White Stone Resin Shower Tray – Pearl — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:37:32.237Z] ✓ Wet Room Tile-Ready Shower Tray Former with Square Centre Drain - Live Your Colour — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:37:35.812Z] ✓ 900x900mm Quadrant 45mm White Stone Resin Shower Tray – Pearl — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:37:36.538Z] ✓ 900x900mm Slate Effect Quadrant Anti-Slip 27mm Slimline Stone Resin Shower Tray - Sileti — 2/2 variants, 3 images, 2 variant images
[2026-09-26T12:37:37.698Z] ✗ Vidalux Pure -1200x800mm White Left-Hand Offset Quadrant Shower Cabin with Hydro Shower Set & Shower Tray — Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid
[2026-09-26T12:37:39.780Z] ✓ 900x900mm Wet Room Tileable Shower Tray with Wet Room Install & Square Centre Waste Drainage Kit — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:37:41.321Z] ✓ 800x800mm Quadrant 25mm Slimline White Stone Resin Shower Tray – Harmony — 1/1 variants, 2 images, 1 variant images
Shopify media upload incomplete: Error: Shopify productCreateMedia: Image URL is invalid; Image URL is invalid
    at assertNoUserErrors (/Users/niazig/Desktop/linxliving/LinxLiving/src/lib/shopify/sync-media.ts:148:11)
    at reconcileProductMedia (/Users/niazig/Desktop/linxliving/LinxLiving/src/lib/shopify/sync-media.ts:251:5)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async createShopifyProduct (/Users/niazig/Desktop/linxliving/LinxLiving/src/lib/shopify/sync-product.ts:536:20)
    at async syncFullProductToShopify (/Users/niazig/Desktop/linxliving/LinxLiving/src/lib/shopify/sync-product-full.ts:267:18)
    at async worker (/Users/niazig/Desktop/linxliving/LinxLiving/scripts/bb-sync-shopify.cjs:88:24)
    at async Promise.all (index 1)
    at async main (/Users/niazig/Desktop/linxliving/LinxLiving/scripts/bb-sync-shopify.cjs:113:3)
[2026-09-26T12:37:50.255Z] ✓ 800mm Chrome 6mm Glass Square Corner Entry Shower Enclosure with Shower Tray - Carina — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:38:00.407Z] ✓ Vidalux 900x900mm Square Electric Shower Cabin with 9.5kw Triton Electric Shower and Shower Tray — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:38:01.047Z] ✓ Black Hydro Shower Cabin Quadrant with Shower Tray & 2 Outlet Thermostatic Mixer Shower System - Vidalux — 2/2 variants, 13 images, 2 variant images
[2026-09-26T12:38:01.827Z] ✓ Vidalux Pure - Quadrant Shower Cabin with Hydro Shower Set with Shower Tray — 4/4 variants, 10 images, 1 variant images
[2026-09-26T12:38:01.827Z] progress 425/1501 (ok 422, warnings 0, failed 3)
[2026-09-26T12:38:12.271Z] ✓ 1200x800mm Chrome 6mm Glass Rectangular Sliding Shower Enclosure with Shower Tray - Carina — 1/1 variants, 13 images, 1 variant images
[2026-09-26T12:38:12.731Z] ✓ Glass Rectangular Sliding Shower Enclosure with Shower Tray - Pavo — 3/3 variants, 11 images, 3 variant images
[2026-09-26T12:38:13.183Z] ✓ 900mm Chrome 6mm Glass Square Hinged Shower Enclosure with Shower Tray - Carina — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:38:20.734Z] ✓ 900mm Black 8mm Glass Quadrant Shower Enclosure with Shower Tray - Pavo — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:38:22.326Z] ✓ 900mm Chrome 6mm Glass Quadrant Shower Enclosure with Shower Tray - Carina — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:38:25.933Z] ✓ 800mm Chrome 6mm Glass Square Hinged Shower Enclosure with Low Profile Shower Tray - Carina — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:38:26.372Z] ✓ Glass Rectangular Sliding Shower Enclosure with Low Profile Shower Tray - Pavo — 3/3 variants, 15 images, 3 variant images
[2026-09-26T12:38:29.956Z] ✓ 900x760mm Chrome 6mm Glass Left Hand Offset Quadrant Shower Enclosure with Shower Tray - Carina — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:38:35.721Z] ✓ 1200x800mm Black 8mm Glass Frameless Sliding Rectangular Shower Enclosure - Denver — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:38:36.226Z] ✓ 1200 x 900mm Brushed Brass Rectangular Hinged Shower Enclosure with Low Profile Shower Tray - Pavo — 1/1 variants, 20 images, 1 variant images
[2026-09-26T12:38:39.516Z] ✓ 800mm Brushed Brass 8mm Glass Square Hinged Shower Enclosure - Pavo — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:38:48.672Z] ✓ Glass Rectangular Sliding Shower Enclosure - Pavo — 3/3 variants, 6 images, 3 variant images
[2026-09-26T12:38:56.329Z] ✓ Glass Rectangular Hinged Shower Enclosure - Pavo — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:38:56.765Z] ✓ 1000x800mm 8mm Glass Rectangular Shower Enclosure with Extended Handle - Pavo — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:38:59.789Z] ✓ 1200 x 1200mm Foldable Accessible Shower Enclosure - Easy-Clean Safety Glass Mobility-Friendly Design — 2/2 variants, 4 images, 2 variant images
[2026-09-26T12:39:05.721Z] ✓ 900mm Chrome 4mm Glass Quadrant Shower Enclosure - Lyra — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:39:08.331Z] ✓ 900x760mm Carina 6mm Offset Quadrant — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:39:09.030Z] ✓ 800x800mm 6mm Glass Square Bi-Fold Shower Enclosure - Carina — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:39:15.058Z] ✓ Chrome 4mm Glass Rectangular Bi-Fold Shower Enclosure 900x800mm - Lyra — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:39:16.518Z] ✓ 1200 x 1200mm Foldable Accessible Shower Enclosure with Grab Rails - Mobility-Friendly Design — 2/2 variants, 10 images, 2 variant images
[2026-09-26T12:39:17.783Z] ✓ 1400x800mm Chrome 6mm Glass Rectangular Sliding Enclosure - Carina — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:39:18.189Z] ✓ 900mm Chrome 6mm Glass Square Hinged Shower Enclosure - Carina — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:39:25.868Z] ✓ 800x800mm Chrome 6mm Glass Square Bi-Fold Shower Enclosure - Carina — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:39:27.044Z] ✓ 1000x700mm Chrome 6mm Glass Rectangular Sliding Shower Enclosure - Carina — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:39:35.973Z] ✓ 900x800mm 6mm Glass Rectangular Bi-Fold Shower Enclosure - Carina — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:39:35.975Z] progress 450/1501 (ok 447, warnings 0, failed 3)
[2026-09-26T12:39:37.426Z] ✓ Chrome Glass Rectangular Hinged Shower Enclosure - Carina — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:39:43.815Z] ✓ Chrome 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Cambridge — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:39:44.822Z] ✓ 1 Outlet Thermostatic Mixer Shower Set with Round Hand Shower & Slide Rail Kit - Arissa — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:39:50.559Z] ✓ 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Cambridge — 2/2 variants, 14 images, 2 variant images
[2026-09-26T12:39:56.296Z] ✓ Chrome 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Cube — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:40:01.064Z] ✓ 2 Outlet Wall Mounted Thermostatic Bath Mixer Shower Set with Bath Filler Spout - Zana — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:40:02.063Z] ✓ Chrome 2 Outlet Wall Mounted Shower Head Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Flow — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:40:03.704Z] ✓ Triton Push Button Bar Diverter Thermostatic Mixer Shower Set — 2/2 variants, 10 images, 2 variant images
[2026-09-26T12:40:10.212Z] ✓ GROHE QuickFix Chrome Vitalio Comfort 250 Shower System with Thermostat for Wall Mounting — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:40:10.606Z] ✓ Aqualisa eMOTION Electric Shower - 9.5kw - Arctic White — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:40:13.667Z] ✓ Chrome 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Hand Shower and Wall Bracket - Arissa — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:40:19.300Z] ✓ Aqualisa Midas Black Safe Touch Thermostatic Mixer Shower Set — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:40:19.766Z] ✓ Chrome 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Flow — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:40:23.184Z] ✓ Triton Amore DuElec 9.5kW Brushed Steel Shower — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:40:25.486Z] ✓ Thermostatic Mixer Shower Set with Rainfall-Style Curved Arm Hand Shower with Slide Rail Kit - Grace — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:40:29.330Z] ✓ Chrome 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Cube — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:40:33.126Z] ✓ Black 1 Outlet Thermostatic Bar Pencil Mixer Shower Set - Arissa — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:40:34.343Z] ✓ Chrome 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Camden — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:40:41.585Z] ✓ Triton Amore DuElec 9.5kW Black Electric Shower — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:40:42.785Z] ✓ 1 Outlet Thermostatic Mixer Shower Set With Slide Rail Kit - Zana — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:40:46.598Z] ✓ Brushed Brass 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Hand Shower and Diverter Controls - Arissa — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:40:47.304Z] ✓ Chrome 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Integrated Hand Shower - Cube — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:40:54.798Z] ✓ Triton Aspirante 9.5kW Brushed Steel Electric Shower — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:40:55.208Z] ✓ Triton ENVi 9.0kW Electric Shower With DuElec Shower Kit - Black — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:40:55.618Z] ✓ Black 1 Outlet Thermostatic Bar Mixer Round Shower Set - Arissa — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:40:55.619Z] progress 475/1501 (ok 472, warnings 0, failed 3)
[2026-09-26T12:40:56.001Z] ✓ Chrome 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Cambridge — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:41:04.299Z] ✓ Triton Silent Running Thermostatic Power Shower Set — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:41:04.723Z] ✓ Chrome 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Flow — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:41:05.816Z] ✓ Black 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Arissa — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:41:10.892Z] ✓ Chrome 2 Outlet Ceiling Mounted Shower Head Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Flow — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:41:14.195Z] ✓ GROHE QuickFix Precision Thermostat Concealed shower system with Vitalio Comfort 250 — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:41:14.626Z] ✓ Triton Velino Mixer Shower with Cool Touch Bar Diverter - Black — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:41:15.305Z] ✓ Chrome 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Cube — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:41:23.636Z] ✓ Aqualisa Black Smart Glo Dual Ceiling Mounted Smart Digital Mixer Thermostatic Shower HP/Combi — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:41:24.040Z] ✓ Aqualisa Lumi+ 10.5kW Chrome Electric Shower — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:41:31.918Z] ✓ Triton 9.5kW Aspirante UNIQ® Electric Shower - Matt Black — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:41:35.456Z] ✓ GROHE QuickFix Precision Start Thermostatic Shower Mixer — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:41:38.962Z] ✓ 2 Outlet Thermostatic Push Button Bath Mixer Shower Set With Bath Filler Spout - Priya — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:41:40.565Z] ✓ Aqualisa Black Smart Glo Dual Wall Mounted Smart Digital Mixer Thermostatic Shower HP/Combi — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:41:44.999Z] ✓ Mira Vigour Thermostatic Power Shower — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:41:48.512Z] ✓ 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Bath Filler Spout - Arissa — 3/3 variants, 13 images, 3 variant images
[2026-09-26T12:41:53.230Z] ✓ Brushed Brass 2 Outlet Thermostatic Mixer Shower Set with Square Bath Filler Spout and Integrated Hand Shower - Zana — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:41:57.033Z] ✓ Brushed Brass 2 Outlet Thermostatic Bath Mixer Shower Set with Rainfall Bath Filler Spout & Hand Shower with Slide Rail Kit - Zana — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:42:00.508Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Overflow Bath Filler and Integrated Hand Shower - Arissa — 3/3 variants, 8 images, 3 variant images
[2026-09-26T12:42:01.884Z] ✓ Overflow Bath Filler Thermostatic Mixer Shower Set - Arissa — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:42:02.307Z] ✓ Chrome 2 Outlet Wall Mounted Thermostatic Bath Mixer Shower Set with Bath Filler Spout - Zana — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:42:06.447Z] ✓ Chrome 2 Outlet Thermostatic Bath Mixer Shower Set With Hand Shower and Bath Filler Spout - Zana — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:42:11.084Z] ✓ Chrome 2 Outlet Thermostatic Mixer Shower Set with Bath Filler Spout & Integrated Hand Shower - Cambridge — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:42:17.547Z] ✓ Chrome 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Integrated Hand Shower- Cambridge — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:42:21.972Z] ✓ Brushed Brass 2 Outlet Thermostatic Mixer Shower Set with Hand Shower & Bath Filler Spout - Cambridge — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:42:21.974Z] progress 500/1501 (ok 497, warnings 0, failed 3)
[2026-09-26T12:42:24.876Z] ✓ 2 Outlet Thermostatic Bath Mixer Shower Set With Hand Shower and Bath Filler Spout - Zana — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:42:31.366Z] ✓ Chrome 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Cube — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:42:31.763Z] ✓ 2 Outlet Thermostatic Bath Mixer Shower Set With Waterfall Bath Filler Spout - Zana — 2/2 variants, 15 images, 2 variant images
[2026-09-26T12:42:35.403Z] ✓ Black 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Zana — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:42:41.143Z] ✓ Chrome 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Integrated Hand Shower - Flow — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:42:43.575Z] ✓ Chrome 2 Outlet Ceiling Mounted Shower Head Thermostatic Mixer Shower Set with Hand Shower - Slide Rail Kit & Diverter Control- Flow — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:42:43.962Z] ✓ Chrome 1 Outlet Thermostatic Mixer Shower Set with Slide Rail Kit - Cambridge — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:42:44.375Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Integrated Hand Shower - Cambridge — 2/2 variants, 3 images, 2 variant images
[2026-09-26T12:42:51.048Z] ✓ Chrome 1 Outlet Thermostatic Mixer Shower Set with Slide Rail Kit - Camden — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:42:53.541Z] ✓ Brushed Brass 2 Outlet Thermostatic Wall Mounted Mixer Shower Set with Integrated Hand Shower - Cambridge — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:42:53.957Z] ✓ Black 1 Outlet Thermostatic Mixer Shower Set with Pencil Hand Shower & Slide Rail Kit- Arissa — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:42:59.578Z] ✓ GROHE QuickFix Black Vitalio Start System 250 Shower System with Thermostat for Wall Mounting — 1/1 variants, 16 images, 1 variant images
[2026-09-26T12:43:02.677Z] ✓ Grohe Vitalio Joy 260 - Cool Touch Thermostatic Mixer Shower Set — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:43:04.100Z] ✓ Chrome 1 Outlet Ceiling Mounted Thermostatic Mixer Shower Set - Camden — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:43:07.476Z] ✓ Chrome 1 Outlet Thermostatic Traditional Mixer Shower Set - Volta — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:43:12.952Z] ✓ Chrome 400mm Round Wall Arm — 1/1 variants, 2 images, 1 variant images
[2026-09-26T12:43:15.187Z] ✓ Black 3 Outlet Wall Mounted Thermostatic Mixer Shower Set With Hand Shower and Bath Filler Spout - Arissa — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:43:15.610Z] ✓ 1 Outlet Thermostatic Mixer Shower Set - Volta — 3/3 variants, 9 images, 3 variant images
[2026-09-26T12:43:21.319Z] ✓ Brushed Brass 355mm Wall Mounted Shower Arm - Arissa — 1/1 variants, 2 images, 1 variant images
[2026-09-26T12:43:23.936Z] ✓ Black 357mm Wall Mounted Shower Arm - Arissa — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:43:24.801Z] ✓ Brushed Bronze Wall Mounted Shower Arm - Arissa — 1/1 variants, 2 images, 1 variant images
