[2026-09-26T15:23:09.276Z] variant photo sets for 1 Better Bathrooms products
[2026-09-26T15:23:18.122Z] ✓ Wall Hung Vanity Unit with Basin - Pendle — 9 variants, 5-5 photos each, 32 uploaded, 45 media total
[2026-09-26T15:35:17.431Z] ✓ 1 Outlet Concealed Thermostatic Shower Valve with Dual Control - Arissa — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:35:18.666Z] ✓ Rectangular Anti-Slip Slimline Stone Resin Shower Tray - Coast — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:35:19.274Z] ✓ 1200mm Sliding Door Shower Enclosure + Wall Support Bar 8mm Glass - Denver — 2 variants, 7-8 photos each, 3 uploaded, 12 media total
[2026-09-26T15:35:24.290Z] ✓ 2 Outlet Wall Mounted Thermostatic Bath Mixer Shower Set with Bath Filler Spout - Zana — 2 variants, 8-10 photos each, 7 uploaded, 18 media total
[2026-09-26T15:35:24.890Z] ✓ 2 Outlet Wall Mounted Thermostatic Push Button Bath Mixer Shower Set With Hand Shower & Bath Filler Spout - Priya — 2 variants, 8-10 photos each, 7 uploaded, 18 media total
[2026-09-26T15:35:26.613Z] ✓ 2 Outlet Thermostatic Push Button Bath Mixer Shower Set With Bath Filler Spout - Priya — 2 variants, 10-10 photos each, 9 uploaded, 20 media total
[2026-09-26T15:35:26.872Z] ✓ 2 Outlet Push Button Thermostatic Mixer Shower Set With Hand Shower & Wall Bracket - Priya — 2 variants, 10-10 photos each, 9 uploaded, 20 media total
[2026-09-26T15:35:31.342Z] ✓ 2 Outlet Concealed Thermostatic Shower Valve with Dual Control - Arissa — 3 variants, 2-5 photos each, 4 uploaded, 11 media total
[2026-09-26T15:35:31.633Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Bath Filler Spout and Hand Shower & Wall Bracket - Arissa — 2 variants, 9-11 photos each, 8 uploaded, 20 media total
[2026-09-26T15:35:33.667Z] ✓ 2 Outlet Thermostatic Bath Mixer Shower Set With Hand Shower and Bath Filler Spout - Zana — 2 variants, 8-9 photos each, 8 uploaded, 17 media total
[2026-09-26T15:35:34.341Z] ✓ 250mm Round Rainfall Shower Head - Arissa — 2 variants, 2-4 photos each, 1 uploaded, 6 media total
[2026-09-26T15:35:34.541Z] ✓ 3 Piece Bathroom Accessory Set - Arissa — 2 variants, 1-5 photos each, 0 uploaded, 6 media total
[2026-09-26T15:35:34.541Z] progress 175/629 (ok 175, failed 0, uploaded 2786)
[2026-09-26T15:35:38.704Z] ✓ 3 Outlet Thermostatic Push Button Mixer Shower Set With Bath Filler Spout & Hand Shower with Slide Rail Kit - Priya — 2 variants, 10-12 photos each, 9 uploaded, 22 media total
[2026-09-26T15:35:39.242Z] ✓ 3 Outlet Thermostatic Push Button Mixer Shower Set With Bath Filler Spout & Hand Shower - Priya — 2 variants, 12-12 photos each, 11 uploaded, 24 media total
[2026-09-26T15:35:39.563Z] ✓ Black Hydro Shower Cabin Quadrant with Shower Tray & 2 Outlet Thermostatic Mixer Shower System - Vidalux — 2 variants, 13-13 photos each, 0 uploaded, 13 media total
[2026-09-26T15:35:41.290Z] ✓ 800x800mm 6mm Glass Square Bi-Fold Shower Enclosure - Carina — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:35:41.578Z] ✓ 900x800mm 6mm Glass Rectangular Bi-Fold Shower Enclosure - Carina — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:35:46.413Z] ✓ Sliding Door Shower Enclosure Glass with Extended Handle - Pavo — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:35:46.483Z] ✓ 1000x800mm 8mm Glass Rectangular Shower Enclosure with Extended Handle - Pavo — 2 variants, 6-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:35:48.483Z] ✓ Bi-Fold Door Shower Enclosure Glass - Carina — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:35:50.232Z] ✓ Traditional Column Radiator with Towel Rail - Regent — 9 variants, 6-7 photos each, 47 uploaded, 62 media total
[2026-09-26T15:35:53.214Z] ✓ Basin Mixer Tap - Helston — 2 variants, 4-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:35:53.530Z] ✓ basin tap and wall mounted bath filler tap pack - Como — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:35:55.513Z] ✓ Bath Mixer Tap - Zana — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:35:57.078Z] ✓ Bath Shower Mixer Tap - Arissa — 2 variants, 3-4 photos each, 2 uploaded, 7 media total
[2026-09-26T15:36:00.128Z] ✓ Bathroom Organiser Shelf - Arissa — 4 variants, 4-4 photos each, 9 uploaded, 16 media total
[2026-09-26T15:36:00.523Z] ✓ Mono Basin Mixer Tap - Arissa — 6 variants, 2-3 photos each, 10 uploaded, 17 media total
[2026-09-26T15:36:02.675Z] ✓ Cloakroom Mono Basin Mixer Tap - Arissa — 6 variants, 2-4 photos each, 10 uploaded, 17 media total
[2026-09-26T15:36:03.846Z] ✓ Click Clack Slotted Basin Waste - Arissa — 5 variants, 2-2 photos each, 4 uploaded, 10 media total
[2026-09-26T15:36:07.348Z] ✓ Arissa Wall Mounted Basin Mixer Tap - More Colours Available — 3 variants, 2-4 photos each, 4 uploaded, 9 media total
[2026-09-26T15:36:07.690Z] ✓ Tall Mono Basin Mixer Tap - Arissa — 6 variants, 2-4 photos each, 12 uploaded, 19 media total
[2026-09-26T15:36:09.682Z] ✓ Wall Mounted Bath Mixer Tap - Arissa — 4 variants, 2-3 photos each, 5 uploaded, 11 media total
[2026-09-26T15:36:10.615Z] ✓ Black Corner Towel Radiator - Kahli — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:36:12.837Z] ✓ 1 Outlet Concealed Thermostatic Shower Valve with Dual Control - Zana — 2 variants, 3-5 photos each, 4 uploaded, 8 media total
[2026-09-26T15:36:15.193Z] ✓ 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Cambridge — 3 variants, 8-13 photos each, 19 uploaded, 30 media total
[2026-09-26T15:36:15.685Z] ✓ Cross Head Traditional Angled Radiator Valves — 3 variants, 2-2 photos each, 2 uploaded, 6 media total
[2026-09-26T15:36:15.801Z] ✓ electriQ Thermostatic Wi-Fi Heating Element for Electric Radiators Dual-fuel or Towel rail - Plug-In and Hardwired Options — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:36:15.802Z] progress 200/629 (ok 200, failed 0, uploaded 2974)
[2026-09-26T15:36:21.565Z] ✓ Curved Towel Radiator - Ember — 12 variants, 5-6 photos each, 54 uploaded, 71 media total
[2026-09-26T15:36:23.519Z] ✓ Freestanding Bath Shower Mixer Tap - Wave — 3 variants, 3-6 photos each, 8 uploaded, 13 media total
[2026-09-26T15:36:23.816Z] ✓ 1168mm Wall Hung Toilet Frame & Glass Sensor Flush Plate with Concealed Cistern - Elira — 2 variants, 9-10 photos each, 8 uploaded, 19 media total
[2026-09-26T15:36:24.126Z] ✓ Glass WC Toilet Unit with Cistern, Frame & Pneumatic Dual Flush Button for Wall Hung Toilets - Hako — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:36:28.320Z] ✓ Knurled Towel Ring - Arissa — 4 variants, 4-5 photos each, 10 uploaded, 17 media total
[2026-09-26T15:36:31.317Z] ✓ Round Countertop Basin 390mm - Lorano — 2 variants, 5-7 photos each, 6 uploaded, 12 media total
[2026-09-26T15:36:31.917Z] ✓ Mono Basin Mixer Tap - Zana — 3 variants, 3-5 photos each, 6 uploaded, 13 media total
[2026-09-26T15:36:31.935Z] ✓ Round Basin Bottle Trap - Arissa — 5 variants, 2-3 photos each, 4 uploaded, 11 media total
[2026-09-26T15:36:34.769Z] ✓ Thermostatic Mixer Shower Set with Rainfall-Style Curved Arm Hand Shower with Slide Rail Kit - Grace — 2 variants, 8-9 photos each, 8 uploaded, 17 media total
[2026-09-26T15:36:38.757Z] ✓ Shower Niche - Arissa — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:36:39.071Z] ✓ Shower Niche with Shelf 305 x 610mm - Arissa — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:36:39.845Z] ✓ Shower Outlet Elbow for Concealed Showers - Arissa — 2 variants, 2-3 photos each, 1 uploaded, 5 media total
[2026-09-26T15:36:42.449Z] ✓ Sliding Door Shower Enclosure Glass - Pavo — 5 variants, 4-6 photos each, 11 uploaded, 19 media total
[2026-09-26T15:36:47.183Z] ✓ 2 Outlet Thermostatic Bar Mixer Shower Set with Hand Shower - Zana — 3 variants, 7-10 photos each, 12 uploaded, 24 media total
[2026-09-26T15:36:47.419Z] ✓ Traditional Heated Towel Shelf Radiator 350 x 550mm - Regent — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:36:49.196Z] ✓ Towel Radiator with Pipe Kit and Straight Valves - Sonoran — 6 variants, 7-8 photos each, 22 uploaded, 35 media total
[2026-09-26T15:36:49.487Z] ✓ Vertical Double Panel Radiator 1200 x 500mm - Nevada — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:36:54.038Z] ✓ Vertical Electric Towel Radiator - Sagaro — 2 variants, 7-7 photos each, 5 uploaded, 13 media total
[2026-09-26T15:36:54.578Z] ✓ Vertical Panel Radiator with Towel Bars 1220 x 452mm - Hesperia — 2 variants, 6-6 photos each, 4 uploaded, 11 media total
[2026-09-26T15:36:58.039Z] ✓ Vertical Traditional Towel Radiator - Regent — 5 variants, 5-7 photos each, 21 uploaded, 30 media total
[2026-09-26T15:36:59.646Z] ✓ Matt Black Wall Hung Smart Bidet Japanese Toilet & 820mm Frame - Purificare — 8 variants, 10-11 photos each, 34 uploaded, 51 media total
[2026-09-26T15:37:00.962Z] ✓ Single Door Wall Mounted Tall Bathroom Cabinet 350 x 1250mm - Lugo — 3 variants, 3-4 photos each, 4 uploaded, 9 media total
[2026-09-26T15:37:01.269Z] ✓ ONLY OPENED - Single Lever Pull Out Monobloc Kitchen Sink Mixer Tap - Enza Olney — 2 variants, 4-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:37:04.682Z] ✓ Traditional Angled Radiator Valves - Regent — 2 variants, 2-4 photos each, 1 uploaded, 6 media total
[2026-09-26T15:37:05.890Z] ✓ Cross Head Traditional Straight Radiator Valves — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:37:05.890Z] progress 225/629 (ok 225, failed 0, uploaded 3218)
[2026-09-26T15:37:09.258Z] ✓ Designer Curved Towel Radiator - Ordos — 4 variants, 6-6 photos each, 12 uploaded, 21 media total
[2026-09-26T15:37:09.580Z] ✓ Brass Knurled Bathroom Grab Rail - Arissa — 5 variants, 4-4 photos each, 12 uploaded, 20 media total
[2026-09-26T15:37:11.395Z] ✓ Knurled Round Straight Radiator Valves — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:37:12.494Z] ✓ Sliding Bathroom Mirror Cabinet with Lights 600 x 600mm - Elara — 2 variants, 6-7 photos each, 5 uploaded, 13 media total
[2026-09-26T15:37:16.331Z] ✓ Brass Towel Radiator - Tundra — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:37:16.583Z] ✓ Knurled Toilet Roll Holder - Arissa — 4 variants, 4-5 photos each, 8 uploaded, 16 media total
[2026-09-26T15:37:18.653Z] ✓ 1 Outlet Thermostatic Mixer Shower Set With Slide Rail Kit - Zana — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:37:19.865Z] ✓ 2 Outlet Thermostatic Bar Mixer Shower Set with Hand Shower & Fluted Handles - Arissa — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:37:23.405Z] ✓ Bath Filler - Zana — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:37:24.416Z] ✓ Grate Waste Cover 115x115mm - Lagoon — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:37:25.453Z] ✓ Wall Mounted Bath Spout - Zana — 3 variants, 2-3 photos each, 3 uploaded, 7 media total
[2026-09-26T15:37:26.474Z] ✓ Bath Mixer Tap - Arissa — 4 variants, 2-5 photos each, 6 uploaded, 12 media total
[2026-09-26T15:37:29.984Z] ✓ Radiator Pipe Covers 300mm — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:37:31.029Z] ✓ Thermostatic Mixer Outdoor Shower with Pencil Hand Shower 2 Outlets - Suva — 2 variants, 8-9 photos each, 7 uploaded, 17 media total
[2026-09-26T15:37:32.808Z] ✓ Double Ended Whirlpool Spa Bath with 14 Whirlpool & 12 Airspa Jets - Burford — 2 variants, 6-6 photos each, 2 uploaded, 8 media total
[2026-09-26T15:37:33.402Z] ✓ Traditional 2 Outlet Concealed Thermostatic Concealed Shower Valve with Triple Control - Cambridge — 2 variants, 3-4 photos each, 2 uploaded, 7 media total
[2026-09-26T15:37:37.434Z] ✓ Freestanding Vanity Unit with Basin - Camden — 3 variants, 9-10 photos each, 17 uploaded, 28 media total
[2026-09-26T15:37:38.881Z] ✓ Rectangular Bathroom Mirror 750 x 700mm - Camden — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:37:40.033Z] ✓ Crosshead Mono Basin Mixer Tap - Camden — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:37:40.517Z] ✓ Chrome Glass Rectangular Hinged Shower Enclosure - Carina — 2 variants, 7-9 photos each, 8 uploaded, 16 media total
[2026-09-26T15:37:44.525Z] ✓ Double Ended Whirlpool Spa Bath with 14 Whirlpool Jets - Chiltern — 2 variants, 3-4 photos each, 3 uploaded, 7 media total
[2026-09-26T15:37:45.748Z] ✓ 2 Outlet Thermostatic Bath Mixer Shower Set With Waterfall Bath Filler Spout - Zana — 2 variants, 11-14 photos each, 10 uploaded, 25 media total
[2026-09-26T15:37:47.895Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Overflow Bath Filler and Integrated Hand Shower - Arissa — 3 variants, 5-6 photos each, 9 uploaded, 17 media total
[2026-09-26T15:37:48.212Z] ✓ 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Bath Filler Spout - Arissa — 3 variants, 10-11 photos each, 19 uploaded, 32 media total
[2026-09-26T15:37:52.576Z] ✓ 4 Hole Bath Shower Mixer Tap - Arissa — 3 variants, 2-3 photos each, 2 uploaded, 7 media total
[2026-09-26T15:37:52.577Z] progress 250/629 (ok 250, failed 0, uploaded 3373)
[2026-09-26T15:37:52.900Z] ✓ 3 in 1 Square Instant Boiling Hot Kitchen Mixer Tap with 3L Boiler and Filter - Pronto Vesta — 6 variants, 6-11 photos each, 28 uploaded, 39 media total
[2026-09-26T15:37:54.757Z] ✓ 48mm Cistern Flush Button - Suitable for Albi, Ashford, Boston, Indiana, Newport, Palma, Ripley, Tanya & Venice — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:37:54.903Z] ✓ 800mm Ribbed / Fluted Glass Hinged Door Shower Enclosure 8mm Glass - Matira — 2 variants, 10-10 photos each, 9 uploaded, 20 media total
[2026-09-26T15:37:59.399Z] ✓ Mono Basin Mixer Tap - Helston — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:37:59.657Z] ✓ Basin Pillar Taps - Helston — 3 variants, 4-5 photos each, 7 uploaded, 14 media total
[2026-09-26T15:38:01.747Z] ✓ basin tap and bath filler tap pack - Arissa — 2 variants, 5-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:38:02.072Z] ✓ One Outlet Valve With Wall Mounted Bath Spout - Arissa — 2 variants, 6-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:38:06.679Z] ✓ Bath Shower Mixer Tap - Helston — 3 variants, 3-4 photos each, 6 uploaded, 11 media total
[2026-09-26T15:38:07.407Z] ✓ Click Clack Unslotted Basin Waste - Better Bathrooms — 2 variants, 2-2 photos each, 0 uploaded, 3 media total
[2026-09-26T15:38:09.532Z] ✓ Bathroom Grab Rails Set of 6 - Arissa — 5 variants, 4-5 photos each, 4 uploaded, 13 media total
[2026-09-26T15:38:09.804Z] ✓ Bracket With Hose - Arissa — 2 variants, 3-4 photos each, 3 uploaded, 7 media total
[2026-09-26T15:38:13.037Z] ✓ Bathroom Grab Rail - Arissa — 25 variants, 4-5 photos each, 72 uploaded, 100 media total
[2026-09-26T15:38:14.082Z] ✓ Cloakroom Basin Mixer Tap - Legend — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:38:16.494Z] ✓ Crosshead Basin Pillar Taps - Ripley — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:38:17.188Z] ✓ Crosshead Mono Basin Mixer Tap - Ripley — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:38:19.891Z] ✓ 2300mm Double Shower Screen for Wet Room & Walk In Shower - Corvus — 3 variants, 3-5 photos each, 6 uploaded, 11 media total
[2026-09-26T15:38:23.274Z] ✓ 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Hand Shower and Wall Bracket - Arissa — 5 variants, 9-11 photos each, 36 uploaded, 50 media total
[2026-09-26T15:38:24.535Z] ✓ electriQ Smart Wi-Fi Thermostatic Heating Element for Electric & Dual-Fuel Radiators and Towel Rails - Plug-In or Hardwired — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:38:24.843Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Bath Filler Spout and Integrated Hand Shower - Arissa — 4 variants, 3-6 photos each, 12 uploaded, 21 media total
[2026-09-26T15:38:26.794Z] ✓ Folding Bathroom Grab Rail 600 x 160mm - Arissa — 5 variants, 4-6 photos each, 19 uploaded, 27 media total
[2026-09-26T15:38:30.274Z] ✓ Freestanding Bath Shower Mixer Tap - Lenton — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:38:31.999Z] ✓ Freestanding Bath Shower Mixer with Shelf - Savannah — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:38:32.957Z] ✓ 1450mm x 975mm Hinged Shower Bath Screen with Fixed Panel and Towel Rail - Libra — 2 variants, 3-3 photos each, 0 uploaded, 4 media total
[2026-09-26T15:38:33.538Z] ✓ Pivot Shower Bath Screen with Towel Rail 1450 x 775mm - Taurus — 2 variants, 3-3 photos each, 0 uploaded, 4 media total
[2026-09-26T15:38:35.301Z] ✓ Freestanding Shower Bath Suite with Toilet and Basin - Amaro — 5 variants, 13-14 photos each, 44 uploaded, 61 media total
[2026-09-26T15:38:35.302Z] progress 275/629 (ok 275, failed 0, uploaded 3665)
[2026-09-26T15:38:37.618Z] ✓ Hinged Shower Bath Screen 1450 x 730mm - For Cove & Lisbon Shower Baths — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:38:37.977Z] ✓ Freestanding Shower Bath Suite with Toilet and Basin - Kona — 6 variants, 11-11 photos each, 50 uploaded, 66 media total
[2026-09-26T15:38:39.957Z] ✓ Mono Basin Mixer Tap - Elina — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:38:41.612Z] ✓ Overflow Bath Filler Tap & Click Clack Waste - Arissa — 3 variants, 2-2 photos each, 2 uploaded, 6 media total
[2026-09-26T15:38:44.424Z] ✓ 3 Outlet Thermostatic Bar Mixer Shower Set with Bath Filler Spout & Hand Shower - Arissa — 2 variants, 5-6 photos each, 4 uploaded, 11 media total
[2026-09-26T15:38:44.707Z] ✓ 3 Outlet Push Button Thermostatic Mixer Shower Set with Hand Shower & Bath Filler Spout - Mika — 2 variants, 8-8 photos each, 6 uploaded, 15 media total
[2026-09-26T15:38:46.736Z] ✓ Shower Slide Rail Kit - Zana — 2 variants, 4-6 photos each, 5 uploaded, 10 media total
[2026-09-26T15:38:48.069Z] ✓ Overflow Bath Filler Thermostatic Mixer Shower Set - Arissa — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:38:51.745Z] ✓ Stand Pipes - Helston — 4 variants, 2-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:38:52.863Z] ✓ 3 Outlet Thermostatic Bar Mixer Shower Set with Bath Filler Spout & Hand Shower - Zana — 3 variants, 8-9 photos each, 16 uploaded, 26 media total
[2026-09-26T15:38:53.576Z] ✓ Thermostatic Douche Shower / Bidet Shower Spray Kit - Zana — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:38:56.165Z] ✓ Thermostatic Douche Shower / Bidet Shower Spray Kit - Arissa — 5 variants, 5-6 photos each, 17 uploaded, 27 media total
[2026-09-26T15:39:00.238Z] ✓ 1 Outlet Thermostatic Mixer Shower Set - Volta — 3 variants, 6-7 photos each, 11 uploaded, 20 media total
[2026-09-26T15:39:03.041Z] ✓ 2 Outlet Push Button Thermostatic Mixer Shower Set with Hand Shower & Shelf - Mika — 3 variants, 5-8 photos each, 11 uploaded, 19 media total
[2026-09-26T15:39:04.847Z] ✓ Towel Radiator - Nazco — 18 variants, 6-8 photos each, 83 uploaded, 108 media total
[2026-09-26T15:39:05.117Z] ✓ Towel Radiator with Pipe Kit and Straight Valves - Nazco — 10 variants, 4-5 photos each, 12 uploaded, 25 media total
[2026-09-26T15:39:07.860Z] ✓ Chrome Towel Radiator with Pipe Kit and Straight Valves - Sahara — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:39:09.996Z] ✓ Traditional Basin Pillar Taps & Bath Filler Tap Pack - Helston — 2 variants, 8-10 photos each, 7 uploaded, 18 media total
[2026-09-26T15:39:11.687Z] ✓ Traditional Bath Filler - Ripley — 3 variants, 4-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:39:12.017Z] ✓ Traditional Bath Shower Mixer - Ripley — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:39:14.159Z] ✓ Traditional Exposed Bath Waste & Overflow - Park Royal — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:39:16.276Z] ✓ 1 Outlet Traditional Thermostatic Bar Mixer Shower Set - Camden — 3 variants, 3-4 photos each, 5 uploaded, 10 media total
[2026-09-26T15:39:18.470Z] ✓ Traditional Wall Mounted Bath Spout - Cambridge — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:39:19.548Z] ✓ 3 Outlet Wall Mounted Thermostatic Mixer Shower Set with Waterfall Bath Filler Spout and Hand Shower - Arissa — 2 variants, 12-13 photos each, 11 uploaded, 25 media total
[2026-09-26T15:39:20.756Z] ✓ Vertical Traditional Towel Rail Radiator 1200 x 479mm - Regent — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:39:20.756Z] progress 300/629 (ok 300, failed 0, uploaded 3967)
[2026-09-26T15:39:22.565Z] ✓ Wall Mounted Bath Mixer Tap with Valve - Zanda — 2 variants, 5-6 photos each, 4 uploaded, 11 media total
[2026-09-26T15:39:25.284Z] ✓ Wall Mounted Waterfall Bath Filler Spout - Zanda — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:39:26.290Z] ✓ Waterfall Basin Mixer Tap & Bath Filler Tap Pack - Elina — 2 variants, 7-9 photos each, 6 uploaded, 16 media total
[2026-09-26T15:39:27.358Z] ✓ 1060mm Toilet and Sink Unit with Round Toilet - Classic — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:39:29.434Z] ✓ Set of 4 Ball & Claw Feet for Roll Top Baths - Park Royal — 5 variants, 2-4 photos each, 10 uploaded, 18 media total
[2026-09-26T15:39:32.416Z] ✓ Cleopatra Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:39:34.406Z] ✓ Cleopatra Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5 variants, 5-5 photos each, 16 uploaded, 25 media total
[2026-09-26T15:39:34.653Z] ✓ Cloakroom Wall Hung Basin 450mm - Atlanta — 2 variants, 4-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:39:37.025Z] ✓ Close Coupled Closed Back Comfort Height Toilet with Soft Close Seat and Push Button - Indiana — 3 variants, 8-9 photos each, 6 uploaded, 17 media total
[2026-09-26T15:39:37.807Z] ✓ Close Coupled Rimless Closed Back Toilet with Soft Close Seat & Push Button - Albi — 3 variants, 6-11 photos each, 6 uploaded, 15 media total
[2026-09-26T15:39:38.133Z] ✓ Close Coupled Closed Back Toilet with Sink on Top & Fittings Cloakroom Suite - Legend — 6 variants, 13-13 photos each, 50 uploaded, 68 media total
[2026-09-26T15:39:41.305Z] ✓ Close Coupled Rimless Toilet with Soft Close Seat and Fittings - Ripley — 2 variants, 11-11 photos each, 9 uploaded, 21 media total
[2026-09-26T15:39:44.717Z] ✓ Close Coupled Rimless Closed Back Short Projection Toilet with Button and Tornado Flush - Newport — 5 variants, 14-18 photos each, 46 uploaded, 68 media total
[2026-09-26T15:39:47.819Z] ✓ Close Coupled Rimless Open Back Short Projection Toilet with Button and Tornado Flush - Newport — 5 variants, 14-15 photos each, 43 uploaded, 62 media total
[2026-09-26T15:39:49.972Z] ✓ Close Coupled Traditional Low Level Short Projection Toilet with Wooden Soft Close Seat & Fittings - Park Royal — 6 variants, 9-14 photos each, 35 uploaded, 49 media total
[2026-09-26T15:39:53.386Z] ✓ Close Coupled Traditional Toilet with Wooden Soft Close Seat & Flush Lever - Park Royal — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:39:55.645Z] ✓ Close Coupled Closed Back Toilet with Sink on Top & Fittings - Legend — 6 variants, 13-16 photos each, 59 uploaded, 77 media total
[2026-09-26T15:39:55.929Z] ✓ Walk In Bath 1695mm - Columbia — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:39:57.545Z] ✓ Mono Basin Mixer Tap - Como — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:40:00.082Z] ✓ 2 Outlet Ceiling Mounted Thermostatic Mixer Shower Set with Hand Shower & Slide Rail Kit - Cambridge — 2 variants, 12-13 photos each, 11 uploaded, 25 media total
[2026-09-26T15:40:02.787Z] ✓ Cloakroom Wall Hung Basin 405mm - Detroit — 2 variants, 6-7 photos each, 6 uploaded, 13 media total
[2026-09-26T15:40:03.384Z] ✓ Detroit Wall Hung Basin With Bottle Trap & Basin Mixer & Waste - Zana — 3 variants, 11-11 photos each, 9 uploaded, 22 media total
[2026-09-26T15:40:05.490Z] ✓ Rectangular Heated Bathroom Mirror with Lights Shaver Socket & Bluetooth Speaker - Divine — 5 variants, 8-10 photos each, 30 uploaded, 42 media total
[2026-09-26T15:40:06.703Z] ✓ Double Door Chrome Bathroom Mirror Cabinet with Lights, Bluetooth Speaker & Demister - Ursa — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:40:10.045Z] ✓ Double Ended Whirlpool Spa Bath with 8 Whirlpool Jets 1700 x 750mm - Burford — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:40:10.046Z] progress 325/629 (ok 325, failed 0, uploaded 4358)
[2026-09-26T15:40:11.124Z] ✓ Eco Eleganza Anthracite Vertical Flat Designer Aluminium Radiator — 4 variants, 6-6 photos each, 15 uploaded, 24 media total
[2026-09-26T15:40:12.617Z] ✓ Eco Eleganza Vertical Flat Aluminium Middle Connection Radiator — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
